p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,2.93054043510775,0.343,0.04,0,Stromal cells,DLC1
0,2.91884256437825,0.399,0.078,0,Stromal cells,NNMT
0,2.90438622502826,0.695,0.335,0,Stromal cells,TIMP1
0,2.88482502741761,0.251,0.049,0,Stromal cells,CYP1B1
0,2.88328216077787,0.474,0.102,0,Stromal cells,SERPINF1
0,2.86512684083726,0.393,0.074,0,Stromal cells,GAS7
0,2.8616495527285,0.286,0.056,0,Stromal cells,CLEC11A
0,2.86007500615584,0.394,0.089,0,Stromal cells,OAF
0,2.80856887981889,0.335,0.053,0,Stromal cells,RBMS3
0,2.80523345181947,0.292,0.066,0,Stromal cells,PDZRN3
0,2.80499654431517,0.326,0.059,0,Stromal cells,PLAGL1
0,2.7823747104358,0.463,0.131,0,Stromal cells,PHLDB1
0,2.77809972897573,0.416,0.148,0,Stromal cells,NBL1
0,2.76778210449658,0.274,0.044,0,Stromal cells,VCAM1
0,2.74165575194284,0.496,0.17,0,Stromal cells,MRC2
0,2.65456947621026,0.257,0.043,0,Stromal cells,DPYSL3
0,2.64519115352782,0.648,0.154,0,Stromal cells,CALD1
0,2.62088125721794,0.404,0.076,0,Stromal cells,PLXDC1
0,2.60096591136042,0.408,0.056,0,Stromal cells,LAMA4
0,2.59876818805902,0.269,0.05,0,Stromal cells,F2R
0,2.57505818851705,0.355,0.054,0,Stromal cells,PTGDS
0,2.53279205593669,0.34,0.117,0,Stromal cells,FRMD6
0,2.51434343397961,0.304,0.095,0,Stromal cells,TPST1
0,2.49460186223234,0.318,0.07,0,Stromal cells,ANTXR1
0,2.48240627407886,0.288,0.079,0,Stromal cells,ARHGEF25
0,2.4784670944292,0.31,0.055,0,Stromal cells,OLFML3
0,2.47687186928132,0.312,0.082,0,Stromal cells,BMP1
0,2.39346336561254,0.596,0.211,0,Stromal cells,COL18A1
0,2.38650998059349,0.611,0.237,0,Stromal cells,TIMP2
0,2.36457261646471,0.453,0.157,0,Stromal cells,LTBP2
0,2.34507075094057,0.278,0.065,0,Stromal cells,BDH2
0,2.31421152040058,0.362,0.057,0,Stromal cells,COL15A1
0,2.29161174265722,0.606,0.156,0,Stromal cells,IGFBP7
0,2.29136211289429,0.266,0.068,0,Stromal cells,MXRA7
0,2.24362616127322,0.411,0.098,0,Stromal cells,EMP1
0,2.19405914676658,0.451,0.093,0,Stromal cells,SPARCL1
0,2.11204998514455,0.414,0.127,0,Stromal cells,PLPP3
0,2.05541726756594,0.388,0.095,0,Stromal cells,MFGE8
0,1.98450094980672,0.34,0.117,0,Stromal cells,ST5
0,1.91600689227715,0.383,0.135,0,Stromal cells,TMEM176B
0,1.90492228820084,0.668,0.365,0,Stromal cells,GSN
0,1.75685676741924,0.439,0.145,0,Stromal cells,MYL9
0,1.65797466128805,0.299,0.085,0,Stromal cells,RCN3
0,1.57828318673675,0.354,0.105,0,Stromal cells,HSPG2
0,1.53527264405085,0.467,0.183,0,Stromal cells,TPM2
0,1.52498533925009,0.6,0.217,0,Stromal cells,MGP
0,1.39685673937861,0.453,0.129,0,Stromal cells,COL4A2
0,1.11484962219922,0.826,0.523,0,Stromal cells,VIM
0,0.977072464528191,0.346,0.11,0,Stromal cells,COL4A1
3.26898398672771e-303,2.48297971458519,0.274,0.081,5.91097684480104e-299,Stromal cells,DYNC2H1
5.64054122597422e-283,1.99624759855662,0.25,0.069,1.01992266448066e-278,Stromal cells,TMEM176A
6.49984343631941e-270,1.79199014003911,0.318,0.109,1.17530169015528e-265,Stromal cells,FAM20A
2.07502967272812e-264,1.77745322042535,0.252,0.072,3.752068654227e-260,Stromal cells,CPED1
1.80141371963928e-262,2.35035212982917,0.269,0.087,3.25731628785174e-258,Stromal cells,PTGFRN
6.17202880430661e-260,2.08259768364753,0.365,0.154,1.11602624839472e-255,Stromal cells,UACA
1.19495939460435e-259,1.90500139149297,0.316,0.112,2.16072557732358e-255,Stromal cells,NR2F1
4.78690730661235e-258,1.70339331859806,0.331,0.125,8.65568579181646e-254,Stromal cells,SPRY1
3.96963084493841e-257,2.01323508607269,0.478,0.267,7.17788649381763e-253,Stromal cells,SERPINH1
1.87713551327533e-254,2.25511644324104,0.259,0.082,3.39423643510445e-250,Stromal cells,ZCCHC24
9.48001844323569e-250,1.29706141897702,0.263,0.079,1.71417693490588e-245,Stromal cells,ITGA1
4.67333455492858e-248,3.04950639592748,0.361,0.163,8.45032354222186e-244,Stromal cells,TNXB
7.48886901114004e-243,2.0120795631615,0.271,0.09,1.35413729459434e-238,Stromal cells,PALLD
2.71552962934682e-240,2.08984818936503,0.296,0.109,4.91022067578493e-236,Stromal cells,OSMR
1.21305240684518e-232,2.28649913810443,0.266,0.093,2.19344136205746e-228,Stromal cells,TGFB3
5.34550536794003e-230,2.0991248472062,0.322,0.132,9.66574280630916e-226,Stromal cells,NLGN2
9.21100897157649e-229,1.67473908139027,0.383,0.174,1.66553464224046e-224,Stromal cells,PAM
6.35244946932573e-228,2.26551097721214,0.36,0.166,1.14864991304348e-223,Stromal cells,CPE
5.74186338850174e-224,1.54970703077445,0.694,0.498,1.03824373790888e-219,Stromal cells,APOD
1.77971369366249e-222,2.13667183524184,0.413,0.219,3.21807830088052e-218,Stromal cells,CERCAM
1.37730475757679e-218,2.11941546264163,0.293,0.115,2.49044246265036e-214,Stromal cells,PARVA
2.28478456800342e-214,1.33538943772445,0.595,0.409,4.13134745586379e-210,Stromal cells,LGALS1
3.9627571487676e-213,1.89215361274752,0.398,0.204,7.16545747640157e-209,Stromal cells,LAMC1
1.40503370996135e-208,1.94358439621264,0.288,0.112,2.54058195435211e-204,Stromal cells,APOL1
4.42059362772941e-197,1.25457060873574,0.541,0.343,7.99331739766031e-193,Stromal cells,TPM1
4.44970565873492e-195,1.4371718026953,0.257,0.09,8.04595777212447e-191,Stromal cells,TCF4
3.76072411738435e-194,2.24768036050826,0.404,0.22,6.80014134905438e-190,Stromal cells,THBS1
1.08598218265063e-191,1.73529857709508,0.38,0.193,1.96367298266887e-187,Stromal cells,FGFR1
2.14748280015313e-190,1.64603269725791,0.477,0.285,3.88307839923689e-186,Stromal cells,EGR1
4.44068421755867e-190,1.29469587052644,0.338,0.146,8.02964520218959e-186,Stromal cells,PLXDC2
1.79222792707193e-186,1.61225802216291,0.462,0.284,3.24070653773147e-182,Stromal cells,CNN3
1.75480888009362e-184,1.00546712452479,0.44,0.235,3.17304541698528e-180,Stromal cells,TAGLN
1.53463966257133e-177,1.99530860779144,0.397,0.224,2.77493543786148e-173,Stromal cells,ITGB5
1.62152936719579e-167,1.06797296071506,0.598,0.435,2.93204940176342e-163,Stromal cells,LTBP3
7.7404109829439e-160,1.22667718168969,0.269,0.11,1.39962111393592e-155,Stromal cells,PEAK1
3.90189292777118e-155,1.88568371989897,0.315,0.157,7.05540279199584e-151,Stromal cells,CYBRD1
2.45589408907835e-153,1.78355991411014,0.275,0.124,4.44074769187148e-149,Stromal cells,ARHGAP21
8.78741620079829e-153,0.539456748324082,0.412,0.223,1.58894059742835e-148,Stromal cells,GPNMB
5.56466353932405e-152,1.76327517729322,0.376,0.216,1.00620246118057e-147,Stromal cells,FKBP10
4.0868418296792e-146,1.18670318047758,0.25,0.102,7.38982739642593e-142,Stromal cells,CPQ
1.12608601361013e-145,1.27570619565007,0.573,0.44,2.03618872980983e-141,Stromal cells,WSB1
1.32741787939472e-140,2.29298687616957,0.266,0.126,2.40023700952152e-136,Stromal cells,MEIS1
1.22643584092088e-139,1.19984952211183,0.29,0.133,2.21764128755314e-135,Stromal cells,PRNP
9.94114410162765e-136,1.70538193947624,0.361,0.21,1.79755767645631e-131,Stromal cells,SVIL
9.0402788123502e-134,1.74336885290714,0.269,0.129,1.63466321484916e-129,Stromal cells,PTPRG
4.48242841313466e-130,1.65436261333867,0.38,0.234,8.10512705663009e-126,Stromal cells,CLSTN3
4.04634114302166e-129,1.5481583077896,0.416,0.269,7.31659405481177e-125,Stromal cells,GLI3
8.45171664927794e-126,0.966394150167241,0.291,0.14,1.52823940452244e-121,Stromal cells,ACTA2
2.57942093650606e-125,0.955801581623475,0.435,0.264,4.66410893739026e-121,Stromal cells,FLNA
5.70903239621572e-125,1.79563505725662,0.25,0.116,1.03230723788373e-120,Stromal cells,NREP
4.90181526645282e-120,1.46910823855877,0.324,0.18,8.86346236479999e-116,Stromal cells,EPB41L2
1.0940592932866e-118,1.67189760799485,0.385,0.249,1.97827801412084e-114,Stromal cells,LIMA1
1.10520046230522e-118,1.69846568850365,0.292,0.155,1.9984234759403e-114,Stromal cells,KIAA0930
1.71920294415661e-113,0.98085697650412,0.55,0.416,3.10866276362398e-109,Stromal cells,LGALS3BP
3.29003479745179e-112,0.757401765812085,0.444,0.264,5.94904092075233e-108,Stromal cells,LSP1
3.79867747776649e-111,2.21647262133824,0.259,0.135,6.86876861529736e-107,Stromal cells,NKD2
4.31045209186853e-110,0.977362036263646,0.263,0.125,7.79415947251667e-106,Stromal cells,ANTXR2
1.37339713650328e-107,0.39935127571419,0.358,0.187,2.48337670222523e-103,Stromal cells,ZEB2
9.14786030935653e-107,1.154191037539,0.302,0.163,1.65411610113785e-102,Stromal cells,TSPYL2
1.43991248731897e-101,1.58522884148117,0.321,0.19,2.60364975957017e-97,Stromal cells,SOD2
7.07526027695552e-101,1.40703289441162,0.361,0.229,1.2793485632791e-96,Stromal cells,PDLIM7
1.76724277931127e-99,1.07635446527554,0.258,0.127,3.19552839355063e-95,Stromal cells,ENTPD1
5.93601473076391e-99,1.1861232867257,0.288,0.156,1.07335018361673e-94,Stromal cells,IFITM3
8.40919332739767e-99,0.817438944984981,0.342,0.191,1.52055033746005e-94,Stromal cells,CMTM3
7.10243001063492e-98,1.22032049315222,0.324,0.188,1.28426139452301e-93,Stromal cells,MYOF
7.70510235664484e-95,1.38465088545525,0.414,0.296,1.39323660812852e-90,Stromal cells,KIAA1217
1.14422509766957e-90,2.22626955702922,0.31,0.189,2.06898782160612e-86,Stromal cells,CXCL14
1.00460360474573e-88,1.77791325338301,0.339,0.225,1.81652423810123e-84,Stromal cells,ENC1
1.16416455787192e-88,1.51468479134523,0.332,0.214,2.10504235354401e-84,Stromal cells,SPHK1
5.65709269607356e-88,1.11888203319872,0.333,0.204,1.02291550130402e-83,Stromal cells,REXO2
5.37933447711047e-87,0.977164979248597,0.402,0.268,9.72691260151114e-83,Stromal cells,FNDC3B
8.27759155760635e-85,1.24456433619334,0.36,0.241,1.49675410544638e-80,Stromal cells,GASK1B
5.70383725398256e-84,1.54704650233613,0.384,0.271,1.03136785226513e-79,Stromal cells,PRSS23
2.70599300099492e-83,0.672289449854812,0.712,0.668,4.89297654439901e-79,Stromal cells,CCNL2
1.03644391363198e-81,1.05132442584871,0.462,0.35,1.87409788462935e-77,Stromal cells,STAT2
1.67454164050265e-81,1.537572959947,0.258,0.148,3.02790619435689e-77,Stromal cells,FAM20C
6.1917858961171e-81,0.749890783394279,0.326,0.19,1.11959872573589e-76,Stromal cells,XAF1
1.25868355237788e-80,1.317802238716,0.35,0.236,2.27595159940968e-76,Stromal cells,SEPTIN11
1.76066599301901e-71,1.26717576879615,0.384,0.284,3.18363624857698e-67,Stromal cells,ITGAV
3.93712900854576e-71,1.04118599688807,0.412,0.298,7.11911667325245e-67,Stromal cells,DUSP1
3.50320211225579e-69,1.00741030693082,0.424,0.32,6.33449005938092e-65,Stromal cells,LAMB2
4.88035043482246e-69,0.987925669324508,0.412,0.306,8.82464965624596e-65,Stromal cells,RUNX1
9.78829631536271e-69,1.45145515316418,0.327,0.226,1.76991973974389e-64,Stromal cells,MAST2
1.32062021346823e-67,1.06624232724133,0.33,0.218,2.38794546999324e-63,Stromal cells,STXBP5
2.90040274164369e-67,0.875894566437397,0.538,0.447,5.24450823744012e-63,Stromal cells,LMNA
1.5670023459026e-66,1.06694813652496,0.408,0.305,2.83345364186108e-62,Stromal cells,TTLL3
4.30746698299105e-64,1.01317483223773,0.254,0.15,7.78876179864441e-60,Stromal cells,CEBPB
6.70394582762485e-63,0.616984686176216,0.557,0.477,1.21220748455113e-58,Stromal cells,CST3
1.50326331456752e-60,1.25395590921148,0.383,0.295,2.71820072540098e-56,Stromal cells,CD276
1.66847340696042e-58,0.581943288168709,0.345,0.223,3.01693361446583e-54,Stromal cells,IFI16
1.26905118369539e-56,0.822256534636011,0.285,0.183,2.294698350358e-52,Stromal cells,MAFB
5.28701166552117e-52,0.304997463082028,0.395,0.262,9.55997449359538e-48,Stromal cells,DPYD
1.68303954997567e-51,1.22805290787863,0.279,0.191,3.043272114266e-47,Stromal cells,LHFPL2
4.31053064633751e-51,0.26879946114633,0.336,0.222,7.79430151470748e-47,Stromal cells,MAF
6.22716483374381e-51,0.642579023329907,0.555,0.494,1.12599594523756e-46,Stromal cells,ZFP36L1
1.80379853314544e-50,1.13762231493545,0.251,0.164,3.26162850763358e-46,Stromal cells,GOLIM4
1.6168984471969e-49,1.22575096854826,0.255,0.17,2.92367577222144e-45,Stromal cells,YAP1
4.28253418701306e-44,1.30053181190048,0.29,0.21,7.74367831695701e-40,Stromal cells,MEGF6
1.23473877646585e-42,0.733210380958222,0.382,0.3,2.23265465560554e-38,Stromal cells,ACTN1
2.13964484512979e-41,0.548960460892369,0.465,0.375,3.86890580896368e-37,Stromal cells,CNN2
2.35155497932812e-41,0.871080048544527,0.334,0.253,4.25208171362111e-37,Stromal cells,PKD2
3.75357404827732e-41,0.82225021373032,0.414,0.336,6.78721259409505e-37,Stromal cells,JUN
6.45312348277147e-40,0.830006336224678,0.358,0.276,1.16685378815474e-35,Stromal cells,TPM4
1.35143361970768e-39,0.824702034921664,0.358,0.278,2.44366227115542e-35,Stromal cells,GABBR1
2.22226010407907e-39,0.768342162296705,0.449,0.379,4.01829072019577e-35,Stromal cells,PTPRS
7.65169023257729e-38,1.03878074643633,0.331,0.263,1.38357862785463e-33,Stromal cells,FAM3C
9.66984140046499e-37,0.825339001213516,0.442,0.389,1.74850072203208e-32,Stromal cells,CALU
3.14461128438057e-36,0.625645921064029,0.341,0.254,5.68608612441694e-32,Stromal cells,ARRDC3
4.42361183615585e-36,0.752090013301167,0.441,0.38,7.998774922137e-32,Stromal cells,ITGB1
7.14827117152133e-36,0.732456581065246,0.288,0.209,1.29255039323449e-31,Stromal cells,SDC3
2.58654093185408e-34,0.952315733835564,0.3,0.23,4.67698331297855e-30,Stromal cells,PHC2
1.70380545685896e-33,0.429641557635786,0.257,0.173,3.08082102709237e-29,Stromal cells,TMEM173
7.62850361124112e-33,0.670027908428373,0.321,0.242,1.37938602298462e-28,Stromal cells,PABPC1L
9.94628455299476e-33,0.786382414279788,0.314,0.243,1.79848717287251e-28,Stromal cells,ADD3
6.10484149570028e-32,1.14768532552983,0.292,0.23,1.10387743925253e-27,Stromal cells,SH3PXD2A
6.29775372222626e-32,0.710447595940828,0.462,0.407,1.13875982805295e-27,Stromal cells,ARID5B
1.98449026279572e-31,0.604385167674982,0.306,0.227,3.58835529318722e-27,Stromal cells,MAN1A1
5.22564616091434e-31,1.07973731176736,0.32,0.261,9.44901338816531e-27,Stromal cells,ABL1
5.52791677033464e-31,0.30412393253166,0.293,0.205,9.9955791041191e-27,Stromal cells,ANXA1
3.27660298494543e-30,0.792195053326777,0.388,0.327,5.92475351737832e-26,Stromal cells,PMP22
3.7355685736208e-30,0.604651853465465,0.457,0.405,6.75465509482113e-26,Stromal cells,CD99
1.56318488098606e-29,0.554316308389659,0.407,0.342,2.82655090179899e-25,Stromal cells,TBC1D2B
1.60661093529002e-29,0.69026685843787,0.311,0.239,2.90507389319142e-25,Stromal cells,DPYSL2
2.43034705872325e-29,0.729207117282237,0.295,0.226,4.39455355158337e-25,Stromal cells,SKI
6.66784690232017e-29,0.410552508773432,0.346,0.263,1.20568007687753e-24,Stromal cells,FAM118A
6.47777413096195e-28,0.538473757532739,0.284,0.21,1.17131111836054e-23,Stromal cells,GLS
9.32434478028346e-28,0.753241560944873,0.316,0.253,1.68602802317086e-23,Stromal cells,SPAG9
7.29788832849321e-27,0.798161386621261,0.336,0.279,1.31960416755814e-22,Stromal cells,CYB5R3
1.19600503657999e-25,0.658918922184454,0.287,0.222,2.16261630714394e-21,Stromal cells,APOL2
1.23796171360629e-25,0.671590836637579,0.295,0.232,2.2384823705429e-21,Stromal cells,CALCOCO1
2.58911746933674e-25,0.782190973960505,0.255,0.192,4.68164220805469e-21,Stromal cells,OSBPL9
2.74623830499943e-25,0.495939105550424,0.547,0.505,4.96574810309996e-21,Stromal cells,CD63
3.76041040666502e-25,0.907943749630307,0.348,0.296,6.7995740973317e-21,Stromal cells,TNKS1BP1
4.26916708289074e-25,0.792816645800416,0.384,0.335,7.71950791928303e-21,Stromal cells,PPFIBP1
8.20116014187346e-25,0.420711894922553,0.283,0.215,1.48293377685356e-20,Stromal cells,ABCA1
1.1445476327827e-24,0.843739178403015,0.329,0.271,2.06957102959768e-20,Stromal cells,NFATC4
5.06746544362112e-24,0.540039960438207,0.374,0.313,9.16299101515571e-20,Stromal cells,CAPN2
6.29187069261294e-24,0.510849245192551,0.544,0.519,1.13769605863827e-19,Stromal cells,SQSTM1
1.02213111608279e-23,0.311016794634546,0.322,0.25,1.8482174841009e-19,Stromal cells,CEBPD
4.42028072338069e-23,0.610466790572449,0.473,0.442,7.99275160401696e-19,Stromal cells,NCOR2
9.42348205562495e-23,0.580025161825218,0.349,0.287,1.7039540252981e-18,Stromal cells,FOS
6.96978532734634e-22,0.61768538671753,0.295,0.236,1.26027658289077e-17,Stromal cells,MAP4K4
3.28340005833303e-21,0.945509417615326,0.33,0.288,5.93704398547779e-17,Stromal cells,CKAP4
7.61881001518092e-21,0.493032087867155,0.281,0.22,1.37763322694501e-16,Stromal cells,MDFIC
1.12835476535305e-20,0.546482137641868,0.514,0.496,2.04029108671138e-16,Stromal cells,ANKRD10
1.15716961402888e-20,0.492394106926168,0.454,0.412,2.09239409608703e-16,Stromal cells,ZYX
1.80154033716465e-20,0.679887169111185,0.375,0.332,3.25754523766113e-16,Stromal cells,TNFRSF1A
4.86239854656164e-20,0.327815995046366,0.257,0.193,8.79218905189277e-16,Stromal cells,S100A10
9.75685401993793e-20,0.68276366027145,0.403,0.369,1.76423434388518e-15,Stromal cells,CRTAP
1.88894315273192e-19,0.260058417716987,0.578,0.537,3.41558700876986e-15,Stromal cells,AHNAK
1.57393625981386e-17,0.372888866847176,0.532,0.503,2.84599154499542e-13,Stromal cells,LAMP1
2.82982814967467e-17,0.28604332195657,0.271,0.212,5.11689526024174e-13,Stromal cells,QKI
5.31355813240645e-17,0.695899956992652,0.273,0.225,9.60797581501735e-13,Stromal cells,ACAD11
7.18201712903082e-17,0.842421560248704,0.313,0.275,1.29865233727135e-12,Stromal cells,TAX1BP3
9.34328383598804e-17,0.881044716325549,0.296,0.256,1.68945258322336e-12,Stromal cells,ZNF703
1.53832729864501e-16,0.379297035163585,0.262,0.207,2.7816034214099e-12,Stromal cells,TACC1
2.5999875668188e-16,0.269242068179224,0.481,0.436,4.70129751832175e-12,Stromal cells,MACF1
1.25940583798061e-15,0.795681754713117,0.254,0.212,2.27725763623655e-11,Stromal cells,SLC12A4
1.66459092916399e-15,0.741436772777729,0.307,0.272,3.00991331811432e-11,Stromal cells,WBP1L
4.75573546290647e-15,0.746966449390073,0.292,0.255,8.59932086402749e-11,Stromal cells,FOSL2
4.42686541705561e-14,0.623236753998243,0.273,0.233,8.00465804711996e-10,Stromal cells,TSPAN4
9.1387521418622e-14,0.61315501108647,0.403,0.379,1.65246916229152e-09,Stromal cells,RRBP1
9.51303229107076e-14,0.598986864002004,0.316,0.281,1.72014649887142e-09,Stromal cells,CD81
2.38093252093236e-13,0.582388817649408,0.274,0.233,4.30520218434989e-09,Stromal cells,L3HYPDH
4.78880920346596e-13,0.517547995302879,0.441,0.422,8.65912480170714e-09,Stromal cells,ATN1
2.35441679122547e-12,0.710993762422094,0.332,0.301,4.25725644189389e-08,Stromal cells,JUNB
2.49609971565515e-12,0.655608556221857,0.297,0.265,4.51344750584765e-08,Stromal cells,RUFY3
1.86977565349105e-11,0.371854748620909,0.337,0.302,3.38092833664252e-07,Stromal cells,SRSF11
6.24194994361299e-11,0.656639744458027,0.274,0.245,1.1286693888041e-06,Stromal cells,MAP4K5
1.3607275186371e-10,0.554917853162672,0.283,0.249,2.4604674991996e-06,Stromal cells,TSPAN3
2.94457946915598e-10,0.485695603923567,0.393,0.376,5.32438859612785e-06,Stromal cells,CTDSP2
4.00204245340264e-10,0.763143879074209,0.253,0.225,7.23649316424266e-06,Stromal cells,THBS3
4.46794314866389e-10,0.52969664753671,0.331,0.303,8.07893480141404e-06,Stromal cells,MYO15B
4.9311687308982e-10,0.405689923866862,0.297,0.262,8.91653929921012e-06,Stromal cells,CSGALNACT2
5.68322354598903e-10,0.989368870127109,0.255,0.233,1.02764048158574e-05,Stromal cells,CHPF
1.09204046075201e-09,0.935079932493537,0.269,0.247,1.97462756113179e-05,Stromal cells,PPIC
1.66535166026657e-09,0.251611723198736,0.569,0.571,3.01128887209401e-05,Stromal cells,DDX17
1.71269684911674e-09,0.33105507430985,0.255,0.218,3.09689844257289e-05,Stromal cells,ST6GALNAC6
1.97252699391686e-09,0.519548133557644,0.265,0.234,3.56672331040047e-05,Stromal cells,FER
